k_max,alfa,lamda,f,obj1_cdor_dist_to_0.1,obj2_wdor,obj3_caer_dist_to_0.1,obj4_waer,obj5_time
2,0.6507073763327306,0.8452569505635089,1.024573939112083,1.0,1.0,1.0,1.0,1000.0
4,0.5373349269065314,0.9994783235097974,0.6463584889123039,1.0,1.0,1.0,1.0,1000.0
5,0.5748158171508532,0.4492155117812551,0.7032018524694333,1.0,1.0,1.0,1.0,1000.0
4,0.5373349269065314,0.7568485734341158,1.2673483420763234,1.0,1.0,1.0,1.0,1000.0
6,0.1560516292193907,0.8452569505635089,1.4159944803568847,1.0,1.0,1.0,1.0,1000.0
8,0.7440574152713106,0.157497678200187,0.9144179882772473,1.0,1.0,1.0,1.0,1000.0
3,0.6507073763327306,0.8452569505635089,0.8331351372890984,1.0,1.0,1.0,1.0,1000.0
10,0.6288553577578927,0.42269977118044166,1.0962868615831063,1.0,1.0,1.0,1.0,1000.0
6,0.2692011646457452,1.0,1.2051722542212697,1.0,1.0,1.0,1.0,1000.0
5,0.5748158171508532,0.157497678200187,0.7032018524694333,1.0,1.0,1.0,1.0,1000.0
7,0.7332782915489681,0.2921721958582265,1.4100160146990397,1.0,1.0,1.0,1.0,1000.0
2,0.9885332809297116,0.7217404820858887,1.2015161675042403,1.0,1.0,1.0,1.0,1000.0
3,0.7477342177635588,0.4589411880018419,1.4100160146990397,1.0,1.0,1.0,1.0,1000.0
10,0.9257600104831263,0.43801421169569077,0.6189102865538557,1.0,1.0,1.0,1.0,1000.0
5,0.9445949197614267,0.6164794331102502,1.4100160146990397,1.0,1.0,1.0,1.0,1000.0
7,0.17413568937698265,0.7818435297697931,1.3767703708227748,1.0,1.0,1.0,1.0,1000.0
9,0.3791328123873994,0.9024945938386142,0.7184427269152317,1.0,1.0,1.0,1.0,1000.0
2,0.6507073763327306,0.5793072706796745,0.8331351372890984,1.0,1.0,1.0,1.0,1000.0
7,0.17413568937698265,0.9264108986066186,0.9864442019691668,1.0,1.0,1.0,1.0,1000.0
10,0.4830569487701355,0.2921721958582265,1.2173241433110373,1.0,1.0,1.0,1.0,1000.0
9,0.19815206133799332,0.7217404820858887,0.9579542036471842,1.0,1.0,1.0,1.0,1000.0
4,0.5373349269065314,0.3724035945747214,1.2673483420763234,1.0,1.0,1.0,1.0,1000.0
2,0.5373349269065314,0.13544083637622314,0.6009212411889666,1.0,1.0,1.0,1.0,1000.0
10,0.96492815221565,0.7210903606631632,1.3988382879679935,1.0,1.0,1.0,1.0,1000.0
5,0.5748158171508532,0.6164794331102502,1.4100160146990397,1.0,1.0,1.0,1.0,1000.0
5,0.42224443722548954,0.9024945938386142,1.4100160146990397,1.0,1.0,1.0,1.0,1000.0
3,0.7279273637039699,0.2830732171974629,1.2673483420763234,1.0,1.0,1.0,1.0,1000.0
3,0.40232489902611457,0.6840401390301921,0.8886422428314474,1.0,1.0,1.0,1.0,1000.0
10,0.2491074755848718,0.157497678200187,0.7032018524694333,1.0,1.0,1.0,1.0,1000.0
3,0.40232489902611457,0.19054676819448657,0.6463584889123039,1.0,1.0,1.0,1.0,1000.0
7,0.7332782915489681,0.2921721958582265,1.2173241433110373,1.0,1.0,1.0,1.0,1000.0
4,0.9445949197614267,0.5793072706796745,0.7600562086442931,1.0,1.0,1.0,1.0,1000.0
4,0.5373349269065314,0.9994783235097974,1.1330887599183004,1.0,1.0,1.0,1.0,1000.0
8,0.8343217868802936,0.7802237837415016,1.1183689966753316,1.0,1.0,1.0,1.0,1000.0
9,0.19815206133799332,0.42269977118044166,1.2315983062253606,1.0,1.0,1.0,1.0,1000.0
4,0.5373349269065314,0.2830732171974629,1.2673483420763234,1.0,1.0,1.0,1.0,1000.0
8,0.31475433575369816,0.970786225261129,1.3031794692798702,1.0,1.0,1.0,1.0,1000.0
6,0.7196860036303375,0.42269977118044166,1.2315983062253606,1.0,1.0,1.0,1.0,1000.0
10,0.79972800541459,0.3724035945747214,0.6463584889123039,1.0,1.0,1.0,1.0,1000.0
2,0.9885332809297116,0.7217404820858887,1.2015161675042403,1.0,1.0,1.0,1.0,1000.0
8,0.6648751905054664,0.11966094931395685,1.4138811115397378,1.0,1.0,1.0,1.0,1000.0
7,0.1283909303101924,0.15668584683507963,0.840220315051032,1.0,1.0,1.0,1.0,1000.0
7,0.7440574152713106,0.4492155117812551,1.4170189691149497,1.0,1.0,1.0,1.0,1000.0
7,0.20359841126708272,0.23899612315422913,1.4100160146990397,1.0,1.0,1.0,1.0,1000.0
4,0.9885332809297116,0.5793072706796745,0.9144179882772473,1.0,1.0,1.0,1.0,1000.0
10,0.5458653324200698,0.7210903606631632,1.3988382879679935,1.0,1.0,1.0,1.0,1000.0
10,0.7557946731431527,0.3724035945747214,0.6463584889123039,1.0,1.0,1.0,1.0,1000.0
6,0.13659694630773483,0.7217404820858887,0.9579542036471842,1.0,1.0,1.0,1.0,1000.0
10,0.5373349269065314,0.9264108986066186,1.3298529036589914,1.0,1.0,1.0,1.0,1000.0
8,0.9885332809297116,0.5793072706796745,1.2051722542212697,1.0,1.0,1.0,1.0,1000.0
8,0.7440574152713106,0.4492155117812551,0.9144179882772473,1.0,1.0,1.0,1.0,1000.0
5,0.20701350530627127,0.2664747472576945,1.3736538239003422,1.0,1.0,1.0,1.0,1000.0
